2022/03/28 08:35:53 - DEBUG - 38 - create_dir - Succeed in creating directory: data/netcore
2022/03/28 09:04:08 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/63/cid/12.html HTTP/1.1" 200 4758
2022/03/28 09:04:08 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:08 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/631/cid/12.html HTTP/1.1" 200 4684
2022/03/28 09:04:08 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:09 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/140/cid/12.html HTTP/1.1" 200 4979
2022/03/28 09:04:09 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:10 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/142/cid/12.html HTTP/1.1" 200 4546
2022/03/28 09:04:10 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:10 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/144/cid/12.html HTTP/1.1" 200 4559
2022/03/28 09:04:10 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:11 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/145/cid/12.html HTTP/1.1" 200 4536
2022/03/28 09:04:11 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:12 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/147/cid/12.html HTTP/1.1" 200 4563
2022/03/28 09:04:12 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:13 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/149/cid/12.html HTTP/1.1" 200 2598
2022/03/28 09:04:13 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:13 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/151/cid/12.html HTTP/1.1" 200 4542
2022/03/28 09:04:13 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:14 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/154/cid/12.html HTTP/1.1" 200 4585
2022/03/28 09:04:14 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:15 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/163/cid/12.html HTTP/1.1" 200 4521
2022/03/28 09:04:15 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:15 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/165/cid/12.html HTTP/1.1" 200 4504
2022/03/28 09:04:15 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:16 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/168/cid/12.html HTTP/1.1" 200 4516
2022/03/28 09:04:16 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:17 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/170/cid/12.html HTTP/1.1" 200 4534
2022/03/28 09:04:17 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:18 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/172/cid/12.html HTTP/1.1" 200 4582
2022/03/28 09:04:18 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:18 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/174/cid/12.html HTTP/1.1" 200 4523
2022/03/28 09:04:18 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:19 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/175/cid/12.html HTTP/1.1" 200 4526
2022/03/28 09:04:19 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:19 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=3 HTTP/1.1" 200 5466
2022/03/28 09:04:19 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:20 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/176/cid/12.html HTTP/1.1" 200 4560
2022/03/28 09:04:20 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:21 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/178/cid/12.html HTTP/1.1" 200 4524
2022/03/28 09:04:21 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:22 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/179/cid/12.html HTTP/1.1" 200 4543
2022/03/28 09:04:22 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
