2022/03/28 09:39:07 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431547645&action=productfile&lang=zh-cn&ver=166 HTTP/1.1" 200 303
2022/03/28 09:39:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:09 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-7500G HTTP/1.1" 200 35889
2022/03/28 09:39:09 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:09 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431549342&action=productfile&lang=zh-cn&ver=2266 HTTP/1.1" 200 454
2022/03/28 09:39:09 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:11 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8002 HTTP/1.1" 200 25207
2022/03/28 09:39:11 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:11 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431551103&action=productfile&lang=zh-cn&ver=171 HTTP/1.1" 200 452
2022/03/28 09:39:11 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:12 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8002W HTTP/1.1" 200 25354
2022/03/28 09:39:12 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:13 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431552842&action=productfile&lang=zh-cn&ver=173 HTTP/1.1" 200 406
2022/03/28 09:39:13 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:15 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-8003 HTTP/1.1" 200 25066
2022/03/28 09:39:15 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:39:15 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431555608&action=productfile&lang=zh-cn&ver=172 HTTP/1.1" 200 421
