2022/03/28 09:43:05 - DEBUG - 38 - create_dir - Succeed in creating directory: data/mi
2022/03/28 09:43:40 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R4CMSTA&callback=jQuery151019421888229450956_1648431820006&_=1648431820006 HTTP/1.1" 200 None
2022/03/28 09:43:40 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:41 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=D01STA&callback=jQuery151009330400547112427_1648431820779&_=1648431820779 HTTP/1.1" 200 None
2022/03/28 09:43:41 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:42 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R2100STA&callback=jQuery151008818243360522586_1648431821827&_=1648431821827 HTTP/1.1" 200 None
2022/03/28 09:43:42 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:43 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RM2100STA&callback=jQuery151030176372354672387_1648431822695&_=1648431822695 HTTP/1.1" 200 None
2022/03/28 09:43:43 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:44 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3600STA&callback=jQuery151041852968352178055_1648431823835&_=1648431823835 HTTP/1.1" 200 None
2022/03/28 09:43:44 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:45 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RM1800STA&callback=jQuery151007917479956246595_1648431824584&_=1648431824584 HTTP/1.1" 200 None
2022/03/28 09:43:45 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:46 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA67STA&callback=jQuery151008711117010464453_1648431825422&_=1648431825422 HTTP/1.1" 200 None
2022/03/28 09:43:46 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:47 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA69STA&callback=jQuery151003824171189482589_1648431826249&_=1648431826249 HTTP/1.1" 200 None
2022/03/28 09:43:47 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:48 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=RA72STA&callback=jQuery151008162455954081215_1648431827328&_=1648431827328 HTTP/1.1" 200 None
2022/03/28 09:43:48 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
